t = 1.24e-11, u =     996.555 1.11855e+08 3.25962e+22      1015.4 3.25962e+22     19923.2, Te = 1504.17, T = 300
t = 1.25e-11, u =     996.555 1.11855e+08 3.28601e+22     1027.73 3.28601e+22     20084.5, Te = 1510.21, T = 300
t = 1.26e-11, u =     996.555 1.11855e+08  3.3124e+22     1040.12  3.3124e+22     20245.9, Te = 1516.23, T = 300
t = 1.27e-11, u =     996.555 1.11855e+08  3.3388e+22     1052.56  3.3388e+22     20407.2, Te = 1522.24, T = 300
t = 1.28e-11, u =     996.555 1.11855e+08 3.36519e+22     1065.06 3.36519e+22     20568.5, Te = 1528.23, T = 300
t = 1.29e-11, u =     996.555 1.11855e+08 3.39158e+22     1077.61 3.39158e+22     20729.8, Te = 1534.21, T = 300
t = 1.3e-11, u =     996.555 1.11855e+08 3.41798e+22     1090.22 3.41798e+22     20891.1, Te = 1540.17, T = 300
t = 1.31e-11, u =     996.555 1.11855e+08 3.44437e+22     1102.88 3.44437e+22     21052.5, Te = 1546.12, T = 300
t = 1.32e-11, u =     996.555 1.11855e+08 3.47076e+22     1115.59 3.47076e+22     21213.8, Te = 1552.05, T = 300
t = 1.33e-11, u =     996.555 1.11855e+08 3.49715e+22     1128.36 3.49715e+22     21375.1, Te = 1557.96, T = 300
t = 1.34e-11, u =     996.555 1.11855e+08 3.52355e+22     1141.18 3.52355e+22     21536.4, Te = 1563.86, T = 300
t = 1.35e-11, u =     996.555 1.11855e+08 3.54994e+22     1154.05 3.54994e+22     21697.7, Te = 1569.74, T = 300
t = 1.36e-11, u =     996.555 1.11855e+08 3.57633e+22     1166.98 3.57633e+22     21859.1, Te = 1575.61, T = 300
t = 1.37e-11, u =     996.555 1.11855e+08 3.60273e+22     1179.95 3.60273e+22     22020.4, Te = 1581.46, T = 300
t = 1.38e-11, u =     996.555 1.11855e+08 3.62912e+22     1192.98 3.62912e+22     22181.7, Te = 1587.3, T = 300
t = 1.39e-11, u =     996.555 1.11855e+08 3.65551e+22     1206.06 3.65551e+22       22343, Te = 1593.12, T = 300
t = 1.4e-11, u =     996.555 1.11855e+08 3.68191e+22      1219.2 3.68191e+22     22504.3, Te = 1598.92, T = 300
t = 1.41e-11, u =     996.555 1.11855e+08  3.7083e+22     1232.38  3.7083e+22     22665.7, Te = 1604.71, T = 300
t = 1.42e-11, u =     996.555 1.11855e+08 3.73469e+22     1245.62 3.73469e+22       22827, Te = 1610.48, T = 300
t = 1.43e-11, u =     996.555 1.11855e+08 3.76109e+22      1258.9 3.76109e+22     22988.3, Te = 1616.23, T = 300
t = 1.44e-11, u =     996.555 1.11855e+08 3.78748e+22     1272.24 3.78748e+22     23149.6, Te = 1621.97, T = 300
t = 1.45e-11, u =     996.555 1.11855e+08 3.81387e+22     1285.62 3.81387e+22     23310.9, Te = 1627.69, T = 300
t = 1.46e-11, u =     996.555 1.11855e+08 3.84027e+22     1299.06 3.84027e+22     23472.2, Te = 1633.4, T = 300
t = 1.47e-11, u =     996.555 1.11855e+08 3.86666e+22     1312.54 3.86666e+22     23633.6, Te = 1639.09, T = 300
t = 1.48e-11, u =     996.555 1.11855e+08 3.89305e+22     1326.08 3.89305e+22     23794.9, Te = 1644.76, T = 300
t = 1.49e-11, u =     996.555 1.11855e+08 3.91945e+22     1339.66 3.91945e+22     23956.2, Te = 1650.42, T = 300
t = 1.5e-11, u =     996.555 1.11855e+08 3.94584e+22     1353.29 3.94584e+22     24117.5, Te = 1656.06, T = 300
t = 1.51e-11, u =     996.555 1.11855e+08 3.97223e+22     1366.97 3.97223e+22     24278.8, Te = 1661.69, T = 300
t = 1.52e-11, u =     996.555 1.11855e+08 3.99862e+22      1380.7 3.99862e+22     24440.2, Te = 1667.3, T = 300
t = 1.53e-11, u =     996.555 1.11855e+08 4.02502e+22     1394.47 4.02502e+22     24601.5, Te = 1672.89, T = 300
t = 1.54e-11, u =     996.555 1.11855e+08 4.05141e+22      1408.3 4.05141e+22     24762.8, Te = 1678.47, T = 300
t = 1.55e-11, u =     996.555 1.11855e+08  4.0778e+22     1422.17  4.0778e+22     24924.1, Te = 1684.03, T = 300
t = 1.56e-11, u =     996.555 1.11855e+08  4.1042e+22     1436.09  4.1042e+22     25085.4, Te = 1689.58, T = 300
t = 1.57e-11, u =     996.555 1.11855e+08 4.13059e+22     1450.05 4.13059e+22     25246.7, Te = 1695.11, T = 300
t = 1.58e-11, u =     996.555 1.11855e+08 4.15698e+22     1464.06 4.15698e+22     25408.1, Te = 1700.62, T = 300
t = 1.59e-11, u =     996.555 1.11855e+08 4.18338e+22     1478.12 4.18338e+22     25569.4, Te = 1706.12, T = 300
