t = 5.15e-12, u =     996.556 1.11853e+08 1.35269e+22     293.971 1.35269e+22      8267.8, Te = 1049.38, T = 300
t = 5.2e-12, u =     996.556 1.11853e+08 1.36588e+22      297.67 1.36588e+22     8348.46, Te = 1052.32, T = 300
t = 5.25e-12, u =     996.556 1.11853e+08 1.37908e+22     301.388 1.37908e+22     8429.12, Te = 1055.27, T = 300
t = 5.3e-12, u =     996.556 1.11853e+08 1.39228e+22     305.125 1.39228e+22     8509.78, Te = 1058.23, T = 300
t = 5.35e-12, u =     996.556 1.11853e+08 1.40547e+22     308.882 1.40547e+22     8590.45, Te = 1061.2, T = 300
t = 5.4e-12, u =     996.556 1.11853e+08 1.41867e+22     312.658 1.41867e+22     8671.11, Te = 1064.18, T = 300
t = 5.45e-12, u =     996.556 1.11853e+08 1.43187e+22     316.454 1.43187e+22     8751.77, Te = 1067.17, T = 300
t = 5.5e-12, u =     996.556 1.11853e+08 1.44506e+22     320.269 1.44506e+22     8832.43, Te = 1070.17, T = 300
t = 5.55e-12, u =     996.556 1.11853e+08 1.45826e+22     324.104 1.45826e+22     8913.09, Te = 1073.18, T = 300
t = 5.6e-12, u =     996.556 1.11853e+08 1.47146e+22     327.957 1.47146e+22     8993.75, Te = 1076.21, T = 300
t = 5.65e-12, u =     996.556 1.11853e+08 1.48465e+22     331.831 1.48465e+22     9074.41, Te = 1079.24, T = 300
t = 5.7e-12, u =     996.556 1.11853e+08 1.49785e+22     335.724 1.49785e+22     9155.07, Te = 1082.28, T = 300
t = 5.75e-12, u =     996.556 1.11853e+08 1.51105e+22     339.636 1.51105e+22     9235.73, Te = 1085.33, T = 300
t = 5.8e-12, u =     996.556 1.11853e+08 1.52424e+22     343.567 1.52424e+22      9316.4, Te = 1088.38, T = 300
t = 5.85e-12, u =     996.556 1.11853e+08 1.53744e+22     347.518 1.53744e+22     9397.06, Te = 1091.45, T = 300
t = 5.9e-12, u =     996.556 1.11853e+08 1.55064e+22     351.488 1.55064e+22     9477.72, Te = 1094.52, T = 300
t = 5.95e-12, u =     996.556 1.11853e+08 1.56383e+22     355.477 1.56383e+22     9558.38, Te = 1097.61, T = 300
t = 6e-12, u =     996.556 1.11853e+08 1.57703e+22     359.486 1.57703e+22     9639.04, Te = 1100.7, T = 300
t = 6.05e-12, u =     996.556 1.11853e+08 1.59023e+22     363.514 1.59023e+22      9719.7, Te = 1103.79, T = 300
t = 6.1e-12, u =     996.556 1.11853e+08 1.60343e+22     367.562 1.60343e+22     9800.36, Te = 1106.9, T = 300
t = 6.15e-12, u =     996.556 1.11853e+08 1.61662e+22     371.628 1.61662e+22     9881.02, Te = 1110.01, T = 300
t = 6.2e-12, u =     996.556 1.11853e+08 1.62982e+22     375.714 1.62982e+22     9961.68, Te = 1113.12, T = 300
t = 6.25e-12, u =     996.556 1.11853e+08 1.64302e+22     379.819 1.64302e+22     10042.3, Te = 1116.25, T = 300
t = 6.3e-12, u =     996.556 1.11853e+08 1.65621e+22     383.943 1.65621e+22       10123, Te = 1119.38, T = 300
t = 6.35e-12, u =     996.556 1.11853e+08 1.66941e+22     388.086 1.66941e+22     10203.7, Te = 1122.51, T = 300
t = 6.4e-12, u =     996.556 1.11853e+08 1.68261e+22     392.249 1.68261e+22     10284.3, Te = 1125.65, T = 300
t = 6.45e-12, u =     996.556 1.11853e+08  1.6958e+22      396.43  1.6958e+22       10365, Te = 1128.8, T = 300
t = 6.5e-12, u =     996.556 1.11853e+08   1.709e+22     400.631   1.709e+22     10445.6, Te = 1131.95, T = 300
t = 6.55e-12, u =     996.556 1.11853e+08  1.7222e+22      404.85  1.7222e+22     10526.3, Te = 1135.11, T = 300
t = 6.6e-12, u =     996.556 1.11853e+08 1.73539e+22     409.089 1.73539e+22       10607, Te = 1138.27, T = 300
t = 6.65e-12, u =     996.556 1.11853e+08 1.74859e+22     413.346 1.74859e+22     10687.6, Te = 1141.44, T = 300
t = 6.7e-12, u =     996.556 1.11853e+08 1.76179e+22     417.623 1.76179e+22     10768.3, Te = 1144.61, T = 300
t = 6.75e-12, u =     996.556 1.11853e+08 1.77498e+22     421.918 1.77498e+22       10849, Te = 1147.78, T = 300
t = 6.8e-12, u =     996.556 1.11853e+08 1.78818e+22     426.232 1.78818e+22     10929.6, Te = 1150.96, T = 300
t = 6.85e-12, u =     996.556 1.11853e+08 1.80138e+22     430.565 1.80138e+22     11010.3, Te = 1154.14, T = 300
t = 6.9e-12, u =     996.556 1.11853e+08 1.81457e+22     434.917 1.81457e+22     11090.9, Te = 1157.33, T = 300
