t = 1.44e-11, u =     996.555 1.11855e+08 3.80068e+22     1278.91 3.80068e+22     23230.3, Te = 1624.82, T = 300
t = 1.45e-11, u =     996.555 1.11855e+08 3.82707e+22     1292.32 3.82707e+22     23391.6, Te = 1630.53, T = 300
t = 1.46e-11, u =     996.555 1.11855e+08 3.85346e+22     1305.78 3.85346e+22     23552.9, Te = 1636.23, T = 300
t = 1.47e-11, u =     996.555 1.11855e+08 3.87986e+22     1319.29 3.87986e+22     23714.2, Te = 1641.91, T = 300
t = 1.48e-11, u =     996.555 1.11855e+08 3.90625e+22     1332.85 3.90625e+22     23875.5, Te = 1647.58, T = 300
t = 1.49e-11, u =     996.555 1.11855e+08 3.93264e+22     1346.46 3.93264e+22     24036.9, Te = 1653.23, T = 300
t = 1.5e-11, u =     996.555 1.11855e+08 3.95903e+22     1360.11 3.95903e+22     24198.2, Te = 1658.86, T = 300
t = 1.51e-11, u =     996.555 1.11855e+08 3.98543e+22     1373.82 3.98543e+22     24359.5, Te = 1664.48, T = 300
t = 1.52e-11, u =     996.555 1.11855e+08 4.01182e+22     1387.57 4.01182e+22     24520.8, Te = 1670.08, T = 300
t = 1.53e-11, u =     996.555 1.11855e+08 4.03821e+22     1401.37 4.03821e+22     24682.1, Te = 1675.67, T = 300
t = 1.54e-11, u =     996.555 1.11855e+08 4.06461e+22     1415.22 4.06461e+22     24843.5, Te = 1681.24, T = 300
t = 1.55e-11, u =     996.555 1.11855e+08   4.091e+22     1429.11   4.091e+22     25004.8, Te = 1686.79, T = 300
t = 1.56e-11, u =     996.555 1.11855e+08 4.11739e+22     1443.05 4.11739e+22     25166.1, Te = 1692.33, T = 300
t = 1.57e-11, u =     996.555 1.11855e+08 4.14379e+22     1457.04 4.14379e+22     25327.4, Te = 1697.85, T = 300
t = 1.58e-11, u =     996.555 1.11855e+08 4.17018e+22     1471.08 4.17018e+22     25488.7, Te = 1703.36, T = 300
t = 1.59e-11, u =     996.555 1.11855e+08 4.19657e+22     1485.16 4.19657e+22       25650, Te = 1708.85, T = 300
t = 1.6e-11, u =     996.555 1.11855e+08 4.22297e+22     1499.29 4.22297e+22     25811.4, Te = 1714.32, T = 300
t = 1.61e-11, u =     996.555 1.11855e+08 4.24936e+22     1513.46 4.24936e+22     25972.7, Te = 1719.78, T = 300
t = 1.62e-11, u =     996.555 1.11855e+08 4.27575e+22     1527.68 4.27575e+22       26134, Te = 1725.22, T = 300
t = 1.63e-11, u =     996.555 1.11856e+08 4.30214e+22     1541.94 4.30214e+22     26295.3, Te = 1730.65, T = 300
t = 1.64e-11, u =     996.555 1.11856e+08 4.32854e+22     1556.25 4.32854e+22     26456.6, Te = 1736.06, T = 300
t = 1.65e-11, u =     996.555 1.11856e+08 4.35493e+22     1570.61 4.35493e+22     26617.9, Te = 1741.45, T = 300
t = 1.66e-11, u =     996.555 1.11856e+08 4.38132e+22     1585.01 4.38132e+22     26779.3, Te = 1746.83, T = 300
t = 1.67e-11, u =     996.555 1.11856e+08 4.40772e+22     1599.45 4.40772e+22     26940.6, Te = 1752.19, T = 300
t = 1.68e-11, u =     996.555 1.11856e+08 4.43411e+22     1613.94 4.43411e+22     27101.9, Te = 1757.54, T = 300
t = 1.69e-11, u =     996.555 1.11856e+08  4.4605e+22     1628.47  4.4605e+22     27263.2, Te = 1762.87, T = 300
t = 1.7e-11, u =     996.555 1.11856e+08  4.4869e+22     1643.04  4.4869e+22     27424.5, Te = 1768.19, T = 300
t = 1.71e-11, u =     996.555 1.11856e+08 4.51329e+22     1657.66 4.51329e+22     27585.9, Te = 1773.49, T = 300
t = 1.72e-11, u =     996.555 1.11856e+08 4.53968e+22     1672.33 4.53968e+22     27747.2, Te = 1778.77, T = 300
t = 1.73e-11, u =     996.555 1.11856e+08 4.56607e+22     1687.03 4.56607e+22     27908.5, Te = 1784.04, T = 300
t = 1.74e-11, u =     996.555 1.11856e+08 4.59247e+22     1701.78 4.59247e+22     28069.8, Te = 1789.3, T = 300
t = 1.75e-11, u =     996.555 1.11856e+08 4.61886e+22     1716.57 4.61886e+22     28231.1, Te = 1794.54, T = 300
t = 1.76e-11, u =     996.555 1.11856e+08 4.64525e+22     1731.41 4.64525e+22     28392.4, Te = 1799.76, T = 300
t = 1.77e-11, u =     996.555 1.11856e+08 4.67165e+22     1746.28 4.67165e+22     28553.8, Te = 1804.97, T = 300
t = 1.78e-11, u =     996.555 1.11856e+08 4.69804e+22      1761.2 4.69804e+22     28715.1, Te = 1810.16, T = 300
t = 1.79e-11, u =     996.555 1.11856e+08 4.72443e+22     1776.16 4.72443e+22     28876.4, Te = 1815.34, T = 300
t = 1.8e-11, u =     996.555 1.11856e+08 4.75082e+22     1791.16 4.75082e+22     29037.7, Te = 1820.5, T = 300
t = 1.81e-11, u =     996.555 1.11856e+08 4.77722e+22      1806.2 4.77722e+22       29199, Te = 1825.65, T = 300
t = 1.82e-11, u =     996.555 1.11856e+08 4.80361e+22     1821.29 4.80361e+22     29360.3, Te = 1830.78, T = 300
t = 1.83e-11, u =     996.555 1.11856e+08    4.83e+22     1836.42    4.83e+22     29521.7, Te = 1835.9, T = 300
t = 1.84e-11, u =     996.555 1.11856e+08  4.8564e+22     1851.58  4.8564e+22       29683, Te = 1841, T = 300
t = 1.85e-11, u =     996.555 1.11856e+08 4.88279e+22     1866.79 4.88279e+22     29844.3, Te = 1846.09, T = 300
t = 1.86e-11, u =     996.555 1.11856e+08 4.90918e+22     1882.04 4.90918e+22     30005.6, Te = 1851.16, T = 300
t = 1.87e-11, u =     996.555 1.11856e+08 4.93557e+22     1897.33 4.93557e+22     30166.9, Te = 1856.22, T = 300
t = 1.88e-11, u =     996.555 1.11856e+08 4.96197e+22     1912.65 4.96197e+22     30328.2, Te = 1861.26, T = 300
